"id","Age","Citizenship","Status","Lifeboat","Adult.Minor","Sex","Survived","Pasajero","Class"
"270",30,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"271",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"272",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"273",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"274",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"275",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"276",29,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"277",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"278",32.7167051578137,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"279",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"280",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"281",32.7167051578137,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"282",37,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"283",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"284",30,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"285",26,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"286",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"287",50,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"288",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"289",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"290",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"291",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"292",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"293",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"294",23,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"295",58,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"296",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"297",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"298",17,"British","Married","No","Minor","Male","Lost","Crew","Engineering"
"299",47,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"300",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
