"","car_name","brand","model","kilometers_driven","transmision","fuel","color","engine_capacity","Precio"
"892","Used Renault Logan E3 A/T 2020","renault",2020,"12,000 KM","Automatic","Petrol","Blue","1600",195000
"893","Used Kia Forte 2012","kia",2012,"118,000 KM","Automatic","N/A","White","N/A",280000
"894","Used Kia Sportage 1.6L LX (FWD) Highline Plus 2012","kia",2012,"150,000 KM","Automatic","Petrol","Gray","1600",775000
"895","Used Kia Picanto 1.2L Mid Option 2013","kia",2013,"103,000 KM","Automatic","Petrol","Black","1248",385000
"896","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"897","Used Kia Cerato 1.6L Sedan 2013","kia",2013,"125,000 KM","Automatic","Petrol","White","1600",370000
"898","Used Kia Cerato 1.6L Sedan 2018","kia",2018,"63,000 KM","Automatic","Petrol","Silver","1600",800000
"899","Used Kia Sportage 1.6L LX (FWD) Highline Plus 2021","kia",2021,"98,000 KM","Automatic","Petrol","Red","1600",1330000
"900","New Kia Rio 2016","kia",2016,"86,000 KM","Automatic","Petrol","Silver","1600",370000
"901","Used Kia Cerato 1.6L Sedan 2016","kia",2016,"81,000 KM","Automatic","Petrol","Other","1600",685000
"902","Used Kia Picanto 1.2L LX 2012","kia",2012,"100,000 KM","Automatic","Petrol","Burgundy","1248",405000
"903","Used Kia Grand Cerato 2021","kia",2021,"45,000 KM","Automatic","Petrol","White","N/A",770000
"904","Used Kia Soul 1.6L MPI A/T 2017","kia",2017,"40,000 KM","Automatic","Petrol","Gray","1600",839998
"905","Used Kia Cerato 1.6L MPI Highline 2017","kia",2017,"93,000 KM","Automatic","Petrol","Silver","1600",750000
"906","Used Kia Sportage 1.6T-GDI EX (AWD) 2021","kia",2021,"84,000 KM","Automatic","Petrol","Black","1600",1250000
"907","Used Kia Sportage 1.6L LX (FWD) Highline Plus 2021","kia",2021,"35,000 KM","Automatic","Petrol","Blue","1600",1470000
"908","Used Kia Sportage 2.0L MPI LX (FWD) 2017","kia",2017,"140,000 KM","Automatic","Petrol","Gray","2000",1165000
"909","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"910","Used Kia Cee'd 1.6L Basic 2016","kia",2016,"135,000 KM","Automatic","Petrol","White","1600",590000
"911","Used Kia Sportage 1.6L LX (FWD) 2018","kia",2018,"65,000 KM","Automatic","Petrol","Silver","1600",1100000
"912","Used Kia Cerato 2013","kia",2013,"290,000 KM","Automatic","Petrol","Black","1500",400000
"913","Used Kia Sportage 1.6T-GDI LX (AWD) 2022","kia",2022,"15,000 KM","Automatic","Petrol","Silver","1600",1400000
"914","Used Kia Sportage 1.6L LX (FWD) Full Option 2020","kia",2020,"87,000 KM","Automatic","Petrol","Gray","1600",1360000
"915","Used Kia Sportage 1.6L LX (FWD) Topline Plus 2020","kia",2020,"75,000 KM","Automatic","Petrol","White","1600",1460000
"916","Used Kia Sportage 2015","kia",2015,"170,000 KM","Automatic","Petrol","Brown","N/A",850000
"917","Used Kia Cerato 1.6L Sedan 2013","kia",2013,"200,000 KM","Automatic","Petrol","White","1600",500000
"918","Used Kia XCeed 1.5 A/T Highline 2022","kia",2022,"34,000 KM","Automatic","Petrol","Gold","1500",1160000
"919","Used Kia Cerato 1.6L EX 2013","kia",2013,"158,000 KM","Automatic","Petrol","Black","1591",650000
"920","Used Kia Cerato 1.6L LX 2016","kia",2016,"200,000 KM","Automatic","Petrol","Black","1600",580000
"921","Used Kia Soul 1.6L MPI M/T 2018","kia",2018,"73,000 KM","Automatic","Petrol","Black","1600",580000
"922","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"923","Used Kia Grand Cerato 1.6L LX Full Option 2021","kia",2021,"85,000 KM","Automatic","Petrol","Black","1600",950000
"924","Used Kia Sportage 1.6L LX (FWD) Full Option 2017","kia",2017,"122,000 KM","Automatic","Petrol","Black","1600",990000
"925","Used Kia Cerato 1.6L MPI Highline 2012","kia",2012,"215,000 KM","Automatic","Petrol","Gray","1600",460000
