Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M01;100,275
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M12;101,391
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M11;101,259
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M10;100,850
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M09;100,061
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M08;99,817
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M07;99,693
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M06;100,232
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M05;100,373
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M04;100,406
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M03;99,172
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M02;98,436
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M01;98,311
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M12;99,036
