"","X","Grupo","Fecha","Destino","Tarifa.min","Duración","Cantidad"
"242",242,"Educacion","T","America",0.126,203,0.57
"243",243,"Educacion","T","America",0.026,1,0
"244",244,"Educacion","T","America",0.209,158,0.7
"245",245,"Educacion","T","America",0.158,743,2.12
"246",246,"Asesores","T","America",0.026,34,0.1
"247",247,"Otros","T","America",0.158,327,1.02
"248",248,"Educacion","T","America",0.144,946,2.37
"249",249,"Otros","T","America",0.026,53,0.1
"250",250,"Asesores","T","America",0.007,0,0
"251",251,"Asesores","T","America",0.126,18,0.2
"252",252,"Asesores","T","America",0.126,0,0
"253",253,"Educacion","T","America",0.126,333,0.83
"254",254,"Educacion","T","America",0.144,4,0.21
"255",255,"Educacion","T","America",0.026,0,0
"256",256,"","T","America",0.086,423,0.76
"257",257,"Educacion","T","America",0.126,0,0
"258",258,"Asesores","T","America",0.021,0,0
"259",259,"Asesores","T","America",0.126,1163,2.59
"260",260,"Asesores","T","America",0.126,110,0.32
"261",261,"Asesores","T","America",0.026,0,0
"262",262,"Asesores","T","America",0.026,1,0
"263",263,"Asesores","T","America",0.026,18,0.1
"264",264,"Asesores","T","America",0.063,48,0.13
"265",265,"Educacion","T","Europa",0.067,31,0.14
"266",266,"Educacion","T","Europa",0.021,0,0
"267",267,"Educacion","T","Europa",0.021,0,0
"268",268,"Educacion","T","Europa",0,0,0
"269",269,"Educacion","T","Europa",0.021,0,0
"270",270,"Educacion","T","Europa",0,0,0
"271",271,"Educacion","T","Europa",0.09,24,0.16
"272",272,"Asesores","T","America",0.239,0,0
"273",273,"Educacion","T","America",0.063,0,0
"274",274,"Educacion","T","America",0.063,0,0
"275",275,"Asesores","T","America",0.153,0,0
"276",276,"Educacion","M","Africa",0.496,90,1.06
"277",277,"Educacion","M","Europa",0.211,53,0.28
"278",278,"Educacion","M","Europa",0.211,0,0
"279",279,"Educacion","M","America",0.18,0,0.18
"280",280,"","T","America",0.026,0,0
"281",281,"","T","America",0,0,0
"282",282,"Asesores","T","America",0.086,24,0.16
"283",283,"Asesores","T","America",0.126,23,0.2
"284",284,"Asesores","T","America",0.244,44,0.31
"285",285,"Asesores","T","America",0.026,0,0
"286",286,"Asesores","T","America",0.223,761,2.97
"287",287,"Asesores","T","America",0.026,51,0.1
"288",288,"Asesores","T","America",0.026,0,0
"289",289,"Asesores","T","America",0.026,17,0.1
"290",290,"Asesores","T","America",0.026,84,0.12
"291",291,"Asesores","T","America",0.026,30,0.1
"292",292,"Otros","T","America",0.026,7,0.1
"293",293,"Otros","T","America",0.026,44,0.1
"294",294,"Otros","T","America",0.007,0,0
"295",295,"Asesores","T","America",0.026,0,0
"296",296,"Otros","T","Europa",0.09,564,0.97
"297",297,"Asesores","T","America",0.026,138,0.15
"298",298,"Otros","T","America",0.026,0,0
"299",299,"Otros","T","America",0.007,0,0
"300",300,"Asesores","T","America",0.026,32,0.1
"301",301,"Asesores","T","America",0.026,0,0
"302",302,"Asesores","T","America",0.026,0,0
"303",303,"Asesores","T","America",0.026,95,0.12
"304",304,"Asesores","T","America",0.026,11,0.1
"305",305,"Asesores","T","America",0.063,253,0.39
"306",306,"Asesores","T","America",0.026,64,0.12
"307",307,"Asesores","T","America",0.026,0,0
"308",308,"Asesores","T","America",0.153,0,0
"309",309,"Asesores","T","America",0.007,0,0
"310",310,"Asesores","T","America",0.153,0,0
"311",311,"Asesores","T","America",0.026,141,0.15
"312",312,"Asesores","T","America",0.153,0,0
"313",313,"Asesores","T","America",0.153,6,0.22
"314",314,"Asesores","T","America",0.021,0,0
"315",315,"Asesores","T","America",0.153,0,0
"316",316,"Otros","T","America",0.026,0,0
"317",317,"Otros","T","America",0.007,0,0
"318",318,"Otros","T","America",0.026,9,0.1
"319",319,"Asesores","T","America",0.026,0,0
"320",320,"Asesores","T","America",0.111,2,0.18
"321",321,"Asesores","T","America",0.026,0,0
"322",322,"Asesores","T","America",0.021,0,0
"323",323,"Asesores","T","America",0.021,0,0
"324",324,"Asesores","T","America",0.021,0,0
"325",325,"Otros","T","America",0.007,64,0.05
"326",326,"Asesores","T","America",0.026,77,0.12
"327",327,"Educacion","T","America",0.063,0,0
"328",328,"Asesores","T","America",0.026,94,0.12
"329",329,"Asesores","T","America",0.026,0,0
"330",330,"Asesores","T","America",0.026,33,0.1
"331",331,"Asesores","T","America",0.026,27,0.1
"332",332,"Asesores","T","America",0.026,0,0
"333",333,"Asesores","T","America",0.026,0,0
"334",334,"Asesores","T","America",0.026,0,0
"335",335,"Asesores","T","America",0.026,3,0.1
"336",336,"Asesores","T","America",0.026,0,0
"337",337,"Asesores","T","America",0.026,0,0
"338",338,"Asesores","T","America",0.026,0,0
"339",339,"Asesores","T","America",0.063,2,0.13
"340",340,"Asesores","T","America",0.026,33,0.1
"341",341,"Asesores","T","America",0.026,0,0
"342",342,"Asesores","T","America",0.026,0,0
"343",343,"Asesores","T","America",0.026,0,0
"344",344,"Asesores","T","America",0.026,2,0.1
"345",345,"Asesores","T","America",0.026,0,0
"346",346,"Asesores","T","America",0.021,66,0.08
"347",347,"Asesores","T","America",0.026,0,0
"348",348,"Asesores","T","America",0.026,0,0
"349",349,"Asesores","T","America",0.026,0,0
"350",350,"Otros","T","America",0.026,178,0.15
"351",351,"Asesores","T","America",0.026,0,0
"352",352,"Asesores","T","America",0.026,0,0
"353",353,"Asesores","T","America",0.026,5,0.1
"354",354,"Asesores","T","America",0.026,0,0
"355",355,"Asesores","T","America",0.026,0,0
"356",356,"Asesores","T","America",0.026,0,0
"357",357,"Asesores","T","America",0.026,0,0
"358",358,"Asesores","T","America",0.026,0,0
"359",359,"Asesores","T","America",0.026,0,0
"360",360,"Asesores","T","America",0.026,0,0
"361",361,"Asesores","T","America",0.026,196,0.17
"362",362,"Asesores","T","America",0.026,11,0.1
"363",363,"Asesores","T","America",0.026,0,0
"364",364,"Otros","T","America",0.026,0,0
"365",365,"Asesores","T","America",0.026,0,0
"366",366,"","T","America",0.063,200,0.32
"367",367,"Otros","T","America",0.026,0,0
"368",368,"Asesores","T","America",0.026,0,0
"369",369,"","T","America",0.063,0,0
"370",370,"","T","America",0.063,0,0
"371",371,"Asesores","T","America",0.026,86,0.12
"372",372,"Asesores","T","America",0.026,51,0.1
"373",373,"Asesores","T","America",0.026,0,0
"374",374,"Asesores","T","America",0.026,0,0
"375",375,"Otros","T","America",0.026,37,0.1
"376",376,"Asesores","T","America",0.026,46,0.1
"377",377,"Otros","T","America",0.026,0,0
"378",378,"Asesores","T","America",0.026,0,0
"379",379,"Otros","T","America",0.007,0,0
"380",380,"Otros","T","America",0.026,0,0
"381",381,"Asesores","T","America",0.026,0,0
"382",382,"","T","America",0.063,637,0.76
"383",383,"","T","America",0.063,0,0
"384",384,"","T","America",0.063,0,0
"385",385,"Asesores","T","America",0.026,45,0.1
