id,Age,Citizenship,Status,Lifeboat,Adult.Minor,Sex,Survived,Pasajero,Class,Template
150,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 150)(sexo Male)(status Single)(adult Adult)(clase Engineering))
151,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 151)(sexo Male)(status Single)(adult Adult)(clase Engineering))
152,32,British,Otros,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 152)(sexo Male)(status Otros)(adult Adult)(clase Engineering))
153,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 153)(sexo Male)(status Married)(adult Adult)(clase Engineering))
154,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 154)(sexo Male)(status Married)(adult Adult)(clase Engineering))
155,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 155)(sexo Male)(status Single)(adult Adult)(clase Engineering))
156,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 156)(sexo Male)(status Single)(adult Adult)(clase Engineering))
157,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 157)(sexo Male)(status Single)(adult Adult)(clase Engineering))
158,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 158)(sexo Male)(status Married)(adult Adult)(clase Engineering))
159,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 159)(sexo Male)(status Married)(adult Adult)(clase Engineering))
160,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 160)(sexo Male)(status Married)(adult Adult)(clase Engineering))
161,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 161)(sexo Male)(status Single)(adult Adult)(clase Engineering))
162,30,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 162)(sexo Male)(status Single)(adult Adult)(clase Engineering))
163,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 163)(sexo Male)(status Single)(adult Adult)(clase Engineering))
164,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 164)(sexo Male)(status Single)(adult Adult)(clase Engineering))
165,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 165)(sexo Male)(status Married)(adult Adult)(clase Engineering))
166,22,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 166)(sexo Male)(status Single)(adult Adult)(clase Engineering))
167,32,British,Otros,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 167)(sexo Male)(status Otros)(adult Adult)(clase Engineering))
168,45,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 168)(sexo Male)(status Single)(adult Adult)(clase Engineering))
